ID,Unicode
55,U+305D
441,U+304B
541,U+304A
551,U+3053
796,U+3055
1384,U+3046
1458,U+3081
1744,U+3093
1763,U+3078
1807,U+304B
1841,U+3093
2305,U+306A
2564,U+3093
2647,U+306F
2678,U+308B
2758,U+3046
2890,U+3082
3257,U+308F
3468,U+305B
4477,U+306C
4831,U+304B
4909,U+308C
5391,U+3059
5708,U+3084
5878,U+3066
6049,U+304D
6273,U+3044
6387,U+306E
7020,U+308F
7033,U+3084
7270,U+306B
7644,U+3059
7717,U+3086
8372,U+3051
8439,U+308C
9085,U+3051
9288,U+3092
9318,U+3088
9435,U+3068
9564,U+3042
9634,U+308F
9758,U+306C
9773,U+3051
9839,U+3068
10308,U+3066
10666,U+306C
11308,U+305F
11643,U+304F
11673,U+3092
12166,U+3068
12207,U+3080
12606,U+307B
12623,U+305B
13172,U+3057
13176,U+306B
13290,U+304F
13483,U+306B
13573,U+307E
13939,U+308C
13973,U+3051
14142,U+306C
14730,U+3088
14850,U+3048
15426,U+3092
16287,U+307E
16437,U+3064
16491,U+3093
16513,U+3089
16680,U+3078
16800,U+308B
17252,U+3055
17551,U+308C
17654,U+305B
18018,U+3046
18539,U+308F
18919,U+307B
19915,U+308B
20174,U+307F
20427,U+3046
20620,U+307F
20873,U+306A
21256,U+3072
21267,U+306A
21700,U+307F
21764,U+3082
21891,U+3084
21944,U+306D
22288,U+3082
22367,U+306F
22436,U+3061
22744,U+3042
22795,U+3061
22985,U+3078
23740,U+304D
23960,U+308B
24120,U+3048
24543,U+3048
24630,U+3072
24684,U+304A
24715,U+3064
24788,U+308D
24914,U+305F
25178,U+305D
25799,U+3053
26007,U+3088
26076,U+3044
26426,U+307F
26512,U+3066
26597,U+304F
26739,U+308A
27368,U+3048
27396,U+3048
27679,U+304D
27767,U+308D
28158,U+3068
28202,U+304D
28291,U+304A
28387,U+3064
28500,U+3053
28556,U+305F
28615,U+306B
28770,U+3059
29375,U+3089
29645,U+307F
29747,U+3046
29823,U+3053
30010,U+3081
30092,U+3059
30134,U+307B
30319,U+308D
30482,U+307B
30806,U+304B
30921,U+306F
31124,U+306D
31341,U+307E
31379,U+3086
31499,U+306C
31768,U+308B
31818,U+3061
31865,U+306E
32059,U+3061
32091,U+306D
32215,U+3082
32301,U+308A
32334,U+3057
32377,U+3044
32533,U+3092
32950,U+3057
32960,U+306D
33006,U+3055
33088,U+3080
33135,U+3080
33341,U+306E
33624,U+3057
33797,U+304B
34181,U+3072
34225,U+3042
34346,U+3055
34814,U+304A
35216,U+306D
35501,U+3093
35573,U+3089
35686,U+3042
35756,U+3080
35784,U+305D
36045,U+3066
36084,U+308F
36085,U+3057
36238,U+308D
36638,U+306F
36732,U+3044
36751,U+3059
37125,U+3081
37234,U+305D
37334,U+308A
37462,U+306F
38089,U+304D
38155,U+307E
38162,U+305B
38178,U+3082
38208,U+306E
38428,U+3078
38607,U+306B
39005,U+304F
39780,U+3092
39894,U+3084
40037,U+3089
40182,U+306E
40563,U+307E
40635,U+3075
40680,U+3078
40797,U+3075
40885,U+3089
40886,U+305F
40909,U+3072
41127,U+306A
41495,U+3086
42020,U+304F
42581,U+305B
42679,U+308A
42680,U+3084
42727,U+308D
43192,U+3080
43273,U+308C
43607,U+305F
43670,U+306A
43680,U+3066
43692,U+3081
44645,U+3042
44710,U+3075
44729,U+3081
44879,U+3055
44972,U+3068
45513,U+3086
45888,U+3086
45897,U+3053
46343,U+305D
46985,U+3044
47049,U+3088
47166,U+3072
47448,U+3088
47491,U+307B
47795,U+3064
47848,U+3064
48013,U+3075
48078,U+304A
48306,U+3061
48559,U+308A
48913,U+3075
49300,U+3051
