ID,Image,X,Y,Width,Height
1,200021637-00003_2,1531,263,48,56
2,200021637-00003_2,1542,321,27,40
3,200021637-00003_2,1444,263,32,69
4,200021637-00003_2,1375,287,40,52
5,200021637-00003_2,1372,335,43,55
6,200021637-00003_2,1383,387,25,45
7,200021637-00003_2,1311,319,25,64
8,200021637-00003_2,1298,384,52,36
9,200021637-00003_2,1146,357,44,31
10,200021637-00003_2,1067,323,55,43
11,200021637-00003_2,1084,363,23,45
12,200021637-00003_2,1058,409,51,60
13,200021637-00003_2,1007,260,39,41
14,200021637-00003_2,1014,301,31,51
15,200021637-00003_2,1008,381,40,35
16,200021637-00003_2,1018,521,33,51
17,200021637-00003_2,947,260,41,56
18,200021637-00003_2,947,319,43,48
19,200021637-00003_2,943,369,43,47
20,200021637-00003_2,935,411,59,40
21,200021637-00003_2,884,265,44,48
22,200021637-00003_2,887,317,39,51
23,200021637-00003_2,868,437,71,23
24,200021637-00003_2,821,261,51,33
25,200021637-00003_2,831,292,33,57
26,200021637-00003_2,776,300,31,41
27,200021637-00003_2,776,345,44,47
28,200021637-00003_2,779,395,36,55
29,200021637-00003_2,773,449,36,55
30,200021637-00003_2,655,255,48,61
31,200021637-00003_2,655,312,40,49
32,200021637-00003_2,669,360,15,40
33,200021637-00003_2,653,457,43,27
34,200021637-00003_2,660,481,29,49
35,200021637-00003_2,595,259,43,53
36,200021637-00003_2,589,308,51,33
37,200021637-00003_2,472,261,45,53
38,200021637-00003_2,472,364,51,55
39,200021637-00003_2,429,319,17,57
40,200021637-00003_2,408,384,53,39
41,200021637-00003_2,359,261,43,64
42,200021637-00003_2,359,323,49,57
43,200021637-00003_2,376,371,13,47
44,200021637-00003_2,357,420,41,32
45,200021637-00003_2,291,280,59,51
46,200021637-00003_2,305,328,37,44
47,200021637-00003_2,300,371,44,63
48,200021637-00003_2,259,380,47,48
49,200021637-00003_2,209,333,36,57
50,200021637-00003_2,209,391,32,41
51,200021637-00003_2,1299,1851,79,61
52,200021637-00003_2,1095,1228,45,56
53,200021637-00003_2,911,1328,61,115
54,200021637-00003_2,759,1232,65,103
55,200021637-00003_2,767,1343,55,68
56,200021637-00003_2,1036,2335,84,59
57,200021637-00003_2,756,2294,43,81
58,200021637-00003_2,765,2376,36,63
59,200021637-00003_2,749,2442,71,76
60,200021637-00003_2,643,1852,77,61
61,200021637-00003_2,531,1243,48,75
62,200021637-00003_2,519,1320,72,88
63,200021637-00003_2,417,1195,72,95
64,200021637-00003_2,424,1297,67,61
65,200021637-00003_2,329,1095,65,87
66,200021637-00003_2,335,1191,51,67
67,200021637-00003_2,349,1259,19,65
68,200021637-00003_2,331,1323,57,81
69,200021637-00003_2,325,1456,67,45
70,200021637-00003_2,339,1498,47,73
71,200021637-00003_2,244,1093,75,53
72,200021637-00003_2,259,1153,37,81
73,200021637-00003_2,255,1239,40,72
74,200021637-00003_2,264,1305,33,49
75,200021637-00003_2,193,1103,43,76
76,200021637-00003_2,181,1192,57,93
77,200021637-00004_1,1519,588,64,55
78,200021637-00004_1,1323,431,77,45
79,200021637-00004_1,1323,523,56,71
80,200021637-00004_1,1193,259,48,92
81,200021637-00004_1,1197,353,40,95
82,200021637-00004_1,951,433,56,67
83,200021637-00004_1,980,505,24,76
84,200021637-00004_1,953,589,56,52
85,200021637-00004_1,777,245,45,53
86,200021637-00004_1,780,329,53,40
87,200021637-00004_1,737,256,25,37
88,200021637-00004_1,725,295,51,44
89,200021637-00004_1,735,340,40,25
90,200021637-00004_1,659,309,35,64
91,200021637-00004_1,657,377,48,29
92,200021637-00004_1,657,405,49,39
93,200021637-00004_1,595,263,49,48
94,200021637-00004_1,601,311,39,37
95,200021637-00004_1,615,349,13,47
96,200021637-00004_1,540,268,41,35
97,200021637-00004_1,540,307,44,44
98,200021637-00004_1,547,352,27,32
99,200021637-00004_1,484,272,47,39
100,200021637-00004_1,481,364,59,20
101,200021637-00004_1,425,279,47,47
102,200021637-00004_1,429,321,43,44
103,200021637-00004_1,432,365,27,29
104,200021637-00004_1,428,419,35,25
105,200021637-00004_1,380,335,40,37
106,200021637-00004_1,332,292,31,23
107,200021637-00004_1,329,315,31,33
108,200021637-00004_1,321,349,52,41
109,200021637-00004_1,260,341,53,45
110,200021637-00004_1,211,284,32,35
111,200021637-00004_1,208,361,41,40
112,200021637-00004_1,204,400,55,37
113,200021637-00004_1,167,280,32,60
114,200021637-00004_1,160,341,49,48
115,200021637-00004_1,107,295,47,61
116,200021637-00004_1,103,356,47,56
117,200021637-00004_1,84,415,36,61
118,200021637-00004_1,89,484,20,53
119,200021637-00004_1,1503,1203,79,75
120,200021637-00004_1,1520,1341,53,104
121,200021637-00004_1,1513,1448,69,59
