ID,Unicode
1,U+307B,U+305D,U+304F
2,U+3092,U+3068,U+308A
3,U+3057,U+307B,U+306B
4,U+307B,U+306B,U+3066
5,U+3053,U+3080,U+306A
6,U+3080,U+306A,U+308A
7,U+3057,U+304D,U+3057
8,U+3057,U+304D,U+3057
9,U+304D,U+3057,U+306E
10,U+304B,U+305F,U+3061
11,U+308F,U+308A,U+306A
12,U+3057,U+304D,U+3057
13,U+304D,U+3057,U+306A
14,U+3084,U+308F,U+3089
15,U+308F,U+3089,U+304B
16,U+306B,U+3057,U+3081
17,U+304B,U+308C,U+3044
18,U+307E,U+3044,U+306B
19,U+306A,U+308D,U+3057
20,U+304F,U+308D,U+304B
21,U+3057,U+308D,U+304B
22,U+304B,U+305F,U+3092
23,U+3080,U+3059,U+306A
24,U+3059,U+306A,U+308A
25,U+3084,U+3078,U+306A
26,U+3078,U+306A,U+308A
27,U+3057,U+307E,U+306E
28,U+307E,U+306E,U+308A
29,U+3066,U+3046,U+308D
30,U+308F,U+3044,U+3092
31,U+307E,U+3064,U+308D
32,U+3064,U+308D,U+304F
33,U+308D,U+304F,U+306B
34,U+304D,U+308A,U+304B
35,U+308A,U+304B,U+3051
36,U+306E,U+3053,U+3057
37,U+305F,U+3061,U+306B
38,U+3075,U+308A,U+3059
39,U+3086,U+308A,U+306E
40,U+304D,U+3057,U+305D
41,U+304D,U+3059,U+3088
42,U+3059,U+3088,U+3057
43,U+3088,U+3057,U+306E
44,U+3064,U+304F,U+3057
45,U+306A,U+304B,U+304F
46,U+304B,U+304D,U+305F
47,U+304D,U+305F,U+3044
48,U+3055,U+304D,U+305F
49,U+304D,U+305F,U+3046
50,U+308F,U+304B,U+3081
51,U+304D,U+3093,U+304B
52,U+3093,U+304B,U+3093
53,U+3044,U+3044,U+305F
54,U+3044,U+305F,U+3051
55,U+305F,U+3072,U+3089
56,U+3059,U+3044,U+305B
57,U+3044,U+305B,U+3093
58,U+307E,U+3044,U+306B
59,U+304A,U+308D,U+3057
60,U+3084,U+304D,U+3066
61,U+3088,U+304F,U+3068
62,U+304F,U+3068,U+304D
63,U+3082,U+3068,U+304D
64,U+306B,U+3066,U+304B
65,U+304D,U+3044,U+308D
66,U+3044,U+308D,U+306B
67,U+306A,U+308B,U+306A
68,U+308B,U+306A,U+308A
69,U+308A,U+304B,U+308C
70,U+304B,U+308C,U+3044
71,U+304A,U+308D,U+3057
72,U+3055,U+3089,U+3057
73,U+3057,U+3044,U+305F
74,U+3044,U+305F,U+3051
75,U+3057,U+3084,U+3046
76,U+304A,U+308D,U+3057
77,U+3088,U+3081,U+306A
78,U+3072,U+305F,U+3057
79,U+307E,U+3044,U+306B
80,U+304A,U+308D,U+3057
81,U+306B,U+3078,U+3086
82,U+3078,U+3086,U+3092
83,U+3078,U+3044,U+308C
84,U+3064,U+304F,U+308C
85,U+3057,U+3082,U+306E
86,U+304B,U+308A,U+305F
87,U+308A,U+305F,U+308B
88,U+3055,U+3088,U+308A
89,U+3057,U+3084,U+3046
90,U+304A,U+308D,U+3057
91,U+307E,U+3064,U+306A
92,U+3057,U+3084,U+3046
93,U+304A,U+308D,U+3057
94,U+308C,U+3093,U+3053
95,U+3093,U+3053,U+3093
96,U+3093,U+306A,U+3093
97,U+3053,U+3057,U+3089
98,U+3057,U+3089,U+3078
99,U+3057,U+3084,U+304F
100,U+3084,U+304F,U+3057
101,U+3057,U+308B,U+3078
102,U+308B,U+3078,U+3053
103,U+3078,U+3053,U+3057
104,U+307E,U+3064,U+3082
105,U+3057,U+3084,U+3046
106,U+3057,U+3084,U+3046
107,U+304B,U+308C,U+3044
108,U+304D,U+305B,U+3044
109,U+3068,U+3053,U+308D
110,U+304A,U+308D,U+3057
111,U+308D,U+3057,U+308F
112,U+3057,U+308F,U+3055
113,U+308F,U+304B,U+3081
114,U+304D,U+3059,U+3088
115,U+3059,U+3088,U+3057
116,U+3088,U+3057,U+306E
117,U+307E,U+3044,U+306B
118,U+304A,U+308D,U+3057
119,U+306E,U+3053,U+3092
120,U+307B,U+3046,U+3066
121,U+3046,U+3066,U+3046
122,U+3066,U+3046,U+306E
123,U+3072,U+3089,U+306B
124,U+3089,U+306B,U+3066
125,U+3046,U+3061,U+3053
126,U+3061,U+3053,U+3080
127,U+3086,U+306B,U+3057
128,U+306B,U+3057,U+3066
129,U+304D,U+308B,U+306A
130,U+308B,U+306A,U+308A
131,U+3044,U+304B,U+304F
132,U+3057,U+3088,U+3046
133,U+3088,U+3046,U+308D
134,U+304B,U+3044,U+308F
135,U+3044,U+308F,U+308A
136,U+308F,U+308A,U+306A
137,U+3068,U+3046,U+3075
138,U+3064,U+304F,U+308A
139,U+308F,U+304B,U+3081
140,U+3064,U+304F,U+3057
141,U+3072,U+305F,U+3057
142,U+3057,U+3089,U+3046
143,U+3089,U+3046,U+3092
144,U+305F,U+3044,U+3089
145,U+3044,U+3053,U+3093
146,U+3057,U+3084,U+3046
147,U+304B,U+3064,U+3092
148,U+3055,U+3088,U+308A
149,U+3046,U+3059,U+304F
150,U+3064,U+304F,U+308B
151,U+3044,U+305F,U+3051
152,U+3086,U+3093,U+3055
153,U+3093,U+3055,U+3044
154,U+305B,U+3055,U+3088
155,U+3055,U+3088,U+308A
156,U+3055,U+3068,U+3044
157,U+3068,U+3044,U+3082
158,U+304B,U+304D,U+305F
159,U+304D,U+305F,U+3044
160,U+307E,U+3044,U+306B
161,U+304A,U+308D,U+3057
162,U+307B,U+3046,U+3066
163,U+3046,U+3066,U+3044
164,U+3066,U+3044,U+306E
165,U+306A,U+308A,U+306B
166,U+305F,U+307E,U+308B
167,U+307E,U+308B,U+3092
168,U+304B,U+3055,U+306D
169,U+305B,U+3082,U+308B
170,U+305D,U+308D,U+3078
171,U+3042,U+3093,U+304B
172,U+3093,U+304B,U+3051
173,U+3055,U+3068,U+3046
174,U+306D,U+304B,U+308C
175,U+304B,U+308C,U+3044
176,U+3046,U+3061,U+308F
177,U+304D,U+3044,U+3082
178,U+3044,U+306A,U+3084
179,U+306A,U+3084,U+304D
180,U+3084,U+304D,U+3066
181,U+304A,U+308D,U+3057
182,U+305F,U+3089,U+306E
183,U+3057,U+307B,U+3092
184,U+306B,U+304A,U+308D
185,U+304A,U+308D,U+3057
186,U+305B,U+3093,U+306A
187,U+3093,U+306A,U+3059
188,U+304B,U+3044,U+308F
189,U+3044,U+308F,U+308A
190,U+308F,U+308A,U+306A
191,U+304A,U+308D,U+3057
192,U+3055,U+3068,U+3046
193,U+3084,U+308F,U+3089
194,U+308F,U+3089,U+304B
195,U+3059,U+307E,U+3057
196,U+306F,U+3059,U+3044
197,U+3059,U+3044,U+3082
198,U+305B,U+304D,U+3059
199,U+3061,U+3084,U+3046
200,U+3084,U+3046,U+308D
201,U+3057,U+3084,U+3046
202,U+306B,U+3057,U+304D
203,U+307E,U+308B,U+306E
204,U+308A,U+306B,U+3057
205,U+306B,U+3057,U+3066
206,U+306B,U+3066,U+305D
