ID,Image,X,Y,Width,Height
55,200021637-00003_2,767,1343,55,68
441,200021637-00005_2,484,2524,31,44
541,200021637-00006_1,227,1210,88,80
551,200021637-00006_1,473,2479,35,43
796,200021637-00007_2,1115,904,68,69
1384,200021637-00011_1,1067,419,35,81
1458,200021637-00011_2,1280,523,57,76
1744,200021637-00013_1,1268,863,97,69
1763,200021637-00013_1,1038,2545,73,24
1807,200021637-00013_2,753,307,28,39
1841,200021637-00013_2,701,975,92,69
2305,200021637-00017_1,331,224,57,65
2564,200021637-00018_1,125,1116,89,88
2647,200021712-00004_1,1399,1483,80,54
2678,200021712-00004_1,570,2601,51,82
2758,200021712-00006_1,1187,1644,38,155
2890,200021712-00008_1,1175,1663,78,110
3257,200021712-00012_1,1559,2096,43,103
3468,200021712-00013_2,1920,2614,72,87
4477,200021712-00018_2,745,1973,92,79
4831,200021712-00020_2,986,3224,34,76
4909,200021712-00021_1,1322,2787,96,115
5391,200021712-00023_2,1133,1610,90,147
5708,200021712-00026_2,1122,2243,117,105
5878,200021712-00027_2,1154,1483,65,86
6049,200021712-00028_2,1142,1465,67,114
6273,200021712-00030_1,1511,2002,85,57
6387,200021712-00030_2,1340,2373,67,96
7020,200021712-00034_1,152,2062,47,96
7033,200021712-00034_2,1902,3163,99,125
7270,200021712-00035_2,779,3139,39,103
7644,200021712-00037_2,605,2886,49,114
7717,200021712-00038_1,509,1470,82,128
8372,200021712-00042_1,1324,2188,70,128
8439,200021712-00042_1,162,2313,97,138
9085,200021712-00045_2,578,1158,75,140
9288,200021712-00046_2,399,2537,76,95
9318,200021712-00047_1,1348,1293,53,109
9435,200021712-00047_2,1380,2755,28,125
9564,200021712-00048_1,154,3259,57,111
9634,200021712-00048_2,1012,2481,42,96
9758,200021712-00049_2,1919,1402,79,139
9773,200021712-00049_2,1733,1760,78,130
9839,200021712-00049_2,779,3184,76,129
10308,200021712-00052_1,491,2830,90,87
10666,200021712-00054_1,1097,1540,77,65
11308,200021712-00059_1,1351,1182,70,126
